L7;Editorialisation et valorisation du patrimoine;Poitiers et Limoges;Centre de recherche interdisciplinaire en histoire, art et musicologie;CRIHAM;EA 4270;UFR Sciences humaines et arts, Maison des sciences de l'homme et de la société (MSHS);;;NON;Émotions, création;Environnement, territoires, circulations;Pouvoirs, institutions, conflits;Traces et usages du passé;;;;;BOURGEOIS Guillaume;http://criham.labo.univ-poitiers.fr/ ;catherine.male@univ-poitiers.fr ;05 49 45 45 15;Hôtel Fumé - 8 rue René Descartes - Bât. E15 - TSA 81118;86073;POITIERS Cedex 9;
L8;Arts numériques;Poitiers;Formes et Représentations en Linguistique et Littérature;FORELL;EA 3816;UFR Lettres et langues, Maison des sciences de l'homme et de la société (MSHS);;65;NON;Linguistique interlangues et traitement des textes;Littérature et Texte / Image;;;;;;;BRIAND Michel;http://forell.labo.univ-poitiers.fr/ ;marie-christine.merine@univ-poitiers.fr ;05 49 45 46 51;Maison des sciences de l'homme et de la société - Bât. A5 - 5 rue Théodore Lefebvre - TSA 21103;86073;POITIERS Cedex 9;
L9;Editorialisation et valorisation du patrimoine;Poitiers;Laboratoire Hellénisation et Romanisation dans le Monde Antique. Identités et phénomènes interculturels;HeRMA;EA 3811;UFR Sciences humaines et arts, Maison des sciences de l'homme et de la société (MSHS);;;NON;Sociétés anciennes : pratiques et représentations;Espaces, peuplement, territoires : organisation et évolutions de l'Âge du Fer à l'Antiquité tardive;Objets : de la production aux contextes de consommation;;;;;;DIEUDONNE-GLAD Nadine;http://herma.labo.univ-poitiers.fr/ ;sophie.mazars@univ-poitiers.fr ;05 49 45 45 44;8 rue René Descartes - BP 603;86022;POITIERS Cedex;
L10;Editorialisation et valorisation du patrimoine;Poitiers;Mémoire, Identités, Marginalités dans le Monde Occidental Contemporain;MIMMOC;EA 3812;UFR Lettres et langues, Maison des sciences de l'homme et de la société (MSHS);;37;NON;Réseaux de Sociabilité et de Savoirs en Europe et dans les Amériques;"Axe politique: formes institutionnelles (fédéralisme, l'autonomie) ; réseaux de pouvoir et de contre pouvoir (élites, groupes de pression, groupes d'intérêts)";"Axe culturel: réseaux de sociabilité et imaginaires culturels (identités/ appartenances, écritures du passé, politisation des arts); réseaux de savoirs (mobilité internationale et transfert interculturel des «sciences de la culture»)";;;;;;FINDING Susan;http://mimmoc.labo.univ-poitiers.fr/ ;marie-christine.merine@univ-poitiers.fr ;05 49 45 46 51;1  rue Raymond Cantel - Bât. A3 - TSA 11102;86073;POITIERS Cedex 9;
L11;Gestion de Projets - Marketing digital - Consommations culturelles;Poitiers;Technologies numériques pour l'éducation;TECHNE;EA 6316;UFR Lettres et langues, Maison des sciences de l'homme et de la société (MSHS);;15;NON;Le projet scientifique de l’EA TECHNE a trait à la diffusion massive des technologies numériques et en réseau dans les dispositifs de formation, selon une approche délibérément pluridisciplinaire (sciences de l’information et de la communication, psychologie cognitive, informatique, sciences de l’éducation);Observatoire de l’appropriation culturelle et pédagogique des technologies éducatives dans les écoles en contexte rural, en tenant compte des politiques éducatives publiques en œuvre (ORPPI);Living Cloud;Observatoire du Numérique à l’Université de Poitiers (ONUP – PARE);Flexibilité cognitive des personnes Handicapées mentales et des personnes présentant un Trouble Autistique – apport des STIC (FhanTASTIC);Usages du dispositif de travail collaboratif « Mesa Interactiva »;Répertoire Académique Poitevin;OBSERVATOIRE DE LA DIDACTIQUE ET DE L’APPRENTISSAGE DE L’INFORMATIQUE A L’ÉCOLE (DALIE);CERISIER Jean-François;http://techne.labo.univ-poitiers.fr/ ;techne@univ-poitiers.fr ;05 49 36 62 06;1 rue Raymond Cantel - Bât. A3 - TSA 11102;86073;POITIERS Cedex 9;
L12;Droit de la propriété intellectuelle;La Rochelle;Centre d'Etudes Juridiques et Politiques;CEJEP;EA 3170;Faculté de Droit, Science Politique et Gestion;;35;NON;Justices et droit du procès;Environnement et territoires;Entreprises et assurances;;;;;;MICHELOT Agnès;http://cejep.univ-larochelle.fr/ ;jerome.proton@univ-lr.fr ;05 46 45 83 89;45 rue François de Vaux de Foletier;17024;LA ROCHELLE Cedex 1;
L13;Ingénierie des médias - Numériques interactifs;La Rochelle;Laboratoire Informatique, Image et Interaction;L3I;EA 2118;Pôle Sciences et Technologie;;98;NON;Gestion interactive et Intelligente de Contenus Numériques;Ingénierie des connaissances ;Analyse, gestion de contenus;Interactivité, dynamique des systèmes;;;;;OGIER Jean-Marc;http://l3i.univ-larochelle.fr/ ;;05 46 45 82 62;Avenue Michel Crépeau;17042;LA ROCHELLE Cedex 1;
L14;Ingénierie des médias - Numériques interactifs;La Rochelle;Mathématiques, Image et Applications;MIA;EA 3165;Pôle Sciences et Technologie;;30;NON;Mathématiques et Image Numérique;Mathématiques Environnement et Sciences de la Vie;;;;;;;CHOQUET Catherine;http://mia.univ-larochelle.fr/ ;sylviane.picq@univ-lr.fr ;05 46 45 82 01;Avenue Michel Crépeau;17042;LA ROCHELLE Cedex;
L15;Ingénierie des médias - Numériques interactifs;Limoges;XLIM;;UMR CNRS 7252 ;UFR Sciences fondamentales et appliquées;Ecole Nationale Supérieure d'Ingénieurs de Limoges, IUT GEII, Technopole du Futuroscope,…;450;OUI;Informatique Graphique (IG);Images couleur dynamiques et statiques (ICONES);REseaux et SYStèmes de Télécommunication (RESYST);;;;;;BAILLARGEAT Dominique;http://xlim-sic.labo.univ-poitiers.fr/ ;sic.contact@ml.univ-poitiers.fr ;05 49 49 65 67;11 boulevard Marie et Pierre Curie - Bât. SP2MI - Téléport 2 - BP 30179;86962;FUTUROSCOPE - CHASSENEUIL Cedex;
L17;Gestion de Projets - Marketing digital - Consommations culturelles;Limoges;Centre de Recherches sur l'Entreprise, les Organisations et le Patrimoine;CREOP;EA 4332;Faculté de Droit et des Sciences Economiques;;25;NON;Le dynamisme de l’entreprise et des organisations;La pérennité patrimoniale de l’entreprise privée;;;;;;;BAYLE Marcel;http://www.unilim.fr/creop/ ;gulnaz.coban@unilim.fr ;05 55 14 90 16;5 rue Félix Eboué;87031;LIMOGES Cedex;
L18;Gestion de Projets - Marketing digital - Consommations culturelles;Bordeaux;Institut de Recherche en Gestion des Organisations;IRGO;EA 4190;Institut d'Administration des Entreprises de Bordeaux (IAE);;80;NON;Controle / Comptabilité Internationale;Entreprises Familiales;Marketing;Entrepreunariat;Management bancaire et financier;Ressources humaines;;;TRINQUECOSTE Jean-François;http://www.irgo.fr/ ;karine-berangere.ferrari@u-bordeaux.fr ;05 56 00 97 80;35 avenue Abadie - Bât. C;33072;BORDEAUX Cedex;
L19;Droit de la propriété intellectuelle;Bordeaux;Institut de Recherche en Droit des Affaires et du Patrimoine;IRDAP;EA 4191;;;30;NON;Droit du contrat;Droit du patrimoine;Structure et activités des entreprises;Fiscalité des entreprises et des particuliers;Droit de la vigne et du vin;Culture et créations intellectuelles;Droit des assurances;;WICKER Guillaume;https://irdap.u-bordeaux.fr/ ;irdap@u-bordeaux.fr ;05 56 84 85 82;Avenue Léon Duguit - Bât. recherche éco 2ème étage - R 286;33608;PESSAC Cedex;
L20;Gestion de Projets - Marketing digital - Consommations culturelles;Bordeaux;Laboratoire Cultures – Éducation – Sociétés ;LACES;EA 4140;;;180;NON;Invariance et spécificité dans les phénomènes de production et diffusion des savoirs;Politiques publiques, professions et prévention en éducation;;;;;;;BAUDRIT Alain et MALET Régis;http://www.laces.univ-bordeauxsegalen.fr/ ;maya.cunchinabe@u-bordeaux.fr ;05 57 57 19 58;3 TER Place de la Victoire;33076;BORDEAUX Cedex;
L21;Gestion de Projets - Marketing digital - Consommations culturelles;Bordeaux Montaigne;Médiations - Informations - Communication - Arts;MICA;EA 4426;;;80;NON;Médias;Communication, Organisation et Société;Information, Connaissance et Innovation Numérique;Études digitales : des données aux dispositifs;Image, Design, Espace et Médiation : l'expérience du contemporain;Art, Design, Scénographie : Figures de l'urbanité;;;BEYAERT-GESLIN Anne;http://mica.u-bordeaux-montaigne.fr/ ;web.mica@msha.fr ;05 56 84 68 14;10 Esplanade des Antilles - Bât. MSHA;33607;PESSAC Cedex;
L22;Ingénierie des médias - Numériques interactifs;Bordeaux Montaigne;Archeovision;;UMS 3657;;;12;OUI;Accompagnement de projets 3D;;;;;;;;BERNARD Jean-François;http://archeovision.cnrs.fr/ ;contact@archeovision.cnrs.fr ;05 57 12 15 02;Université Bordeaux-Montaigne - Archéopôle d'Aquitaine - Esplanade des Antilles;33607;PESSAC Cedex;
L23;Ingénierie des médias - Numériques interactifs;Bordeaux Montaigne;Cluster CPU - Certification numérique et fiabilité;;;;;;NON;Calcul scientifique;Signal & Image;Fiabilité, Sécurité, Décision;;;;;;COLIN Thierry;http://cpu.labex.u-bordeaux.fr/ ;celine.leroy@u-bordeaux.fr ;;;;;
L24;;;;;;;;;;;;;;;;;;;;;;;;;
L25;;;;;;;;;;;;;;;;;;;;;;;;;
L26;;;;;;;;;;;;;;;;;;;;;;;;;
L27;;;;;;;;;;;;;;;;;;;;;;;;;
L28;;;;;;;;;;;;;;;;;;;;;;;;;
L29;;;;;;;;;;;;;;;;;;;;;;;;;
L30;;;;;;;;;;;;;;;;;;;;;;;;;
L31;;;;;;;;;;;;;;;;;;;;;;;;;
L32;;;;;;;;;;;;;;;;;;;;;;;;;
L33;;;;;;;;;;;;;;;;;;;;;;;;;
L34;;;;;;;;;;;;;;;;;;;;;;;;;
L35;;;;;;;;;;;;;;;;;;;;;;;;;
L36;;;;;;;;;;;;;;;;;;;;;;;;;
L37;;;;;;;;;;;;;;;;;;;;;;;;;
L38;;;;;;;;;;;;;;;;;;;;;;;;;
L39;;;;;;;;;;;;;;;;;;;;;;;;;
L40;;;;;;;;;;;;;;;;;;;;;;;;;
L41;;;;;;;;;;;;;;;;;;;;;;;;;
L42;;;;;;;;;;;;;;;;;;;;;;;;;
L43;;;;;;;;;;;;;;;;;;;;;;;;;
L44;;;;;;;;;;;;;;;;;;;;;;;;;
L45;;;;;;;;;;;;;;;;;;;;;;;;;
L46;;;;;;;;;;;;;;;;;;;;;;;;;
L47;;;;;;;;;;;;;;;;;;;;;;;;;
L48;;;;;;;;;;;;;;;;;;;;;;;;;
L49;;;;;;;;;;;;;;;;;;;;;;;;;
L50;;;;;;;;;;;;;;;;;;;;;;;;;
L51;;;;;;;;;;;;;;;;;;;;;;;;;
L52;;;;;;;;;;;;;;;;;;;;;;;;;
L53;;;;;;;;;;;;;;;;;;;;;;;;;
L54;;;;;;;;;;;;;;;;;;;;;;;;;
L55;;;;;;;;;;;;;;;;;;;;;;;;;
L56;;;;;;;;;;;;;;;;;;;;;;;;;
L57;;;;;;;;;;;;;;;;;;;;;;;;;
L58;;;;;;;;;;;;;;;;;;;;;;;;;
L59;;;;;;;;;;;;;;;;;;;;;;;;;
L60;;;;;;;;;;;;;;;;;;;;;;;;;
L61;;;;;;;;;;;;;;;;;;;;;;;;;
L62;;;;;;;;;;;;;;;;;;;;;;;;;
L63;;;;;;;;;;;;;;;;;;;;;;;;;
L64;;;;;;;;;;;;;;;;;;;;;;;;;
L65;;;;;;;;;;;;;;;;;;;;;;;;;
L66;;;;;;;;;;;;;;;;;;;;;;;;;
L67;;;;;;;;;;;;;;;;;;;;;;;;;
L68;;;;;;;;;;;;;;;;;;;;;;;;;
L69;;;;;;;;;;;;;;;;;;;;;;;;;
L70;;;;;;;;;;;;;;;;;;;;;;;;;
L71;;;;;;;;;;;;;;;;;;;;;;;;;
L72;;;;;;;;;;;;;;;;;;;;;;;;;
L73;;;;;;;;;;;;;;;;;;;;;;;;;
L74;;;;;;;;;;;;;;;;;;;;;;;;;
L75;;;;;;;;;;;;;;;;;;;;;;;;;
L76;;;;;;;;;;;;;;;;;;;;;;;;;
L77;;;;;;;;;;;;;;;;;;;;;;;;;
L78;;;;;;;;;;;;;;;;;;;;;;;;;
L79;;;;;;;;;;;;;;;;;;;;;;;;;
L80;;;;;;;;;;;;;;;;;;;;;;;;;
L81;;;;;;;;;;;;;;;;;;;;;;;;;
L82;;;;;;;;;;;;;;;;;;;;;;;;;
L83;;;;;;;;;;;;;;;;;;;;;;;;;
L84;;;;;;;;;;;;;;;;;;;;;;;;;
L85;;;;;;;;;;;;;;;;;;;;;;;;;
L86;;;;;;;;;;;;;;;;;;;;;;;;;
L87;;;;;;;;;;;;;;;;;;;;;;;;;
L88;;;;;;;;;;;;;;;;;;;;;;;;;
L89;;;;;;;;;;;;;;;;;;;;;;;;;
L90;;;;;;;;;;;;;;;;;;;;;;;;;
L91;;;;;;;;;;;;;;;;;;;;;;;;;
L92;;;;;;;;;;;;;;;;;;;;;;;;;
L93;;;;;;;;;;;;;;;;;;;;;;;;;
L94;;;;;;;;;;;;;;;;;;;;;;;;;
L95;;;;;;;;;;;;;;;;;;;;;;;;;
L96;;;;;;;;;;;;;;;;;;;;;;;;;
L97;;;;;;;;;;;;;;;;;;;;;;;;;
L98;;;;;;;;;;;;;;;;;;;;;;;;;
L99;;;;;;;;;;;;;;;;;;;;;;;;;
L100;;;;;;;;;;;;;;;;;;;;;;;;;
L101;;;;;;;;;;;;;;;;;;;;;;;;;
L102;;;;;;;;;;;;;;;;;;;;;;;;;
L103;;;;;;;;;;;;;;;;;;;;;;;;;
L104;;;;;;;;;;;;;;;;;;;;;;;;;
L105;;;;;;;;;;;;;;;;;;;;;;;;;
L106;;;;;;;;;;;;;;;;;;;;;;;;;
L107;;;;;;;;;;;;;;;;;;;;;;;;;
L108;;;;;;;;;;;;;;;;;;;;;;;;;
L109;;;;;;;;;;;;;;;;;;;;;;;;;
L110;;;;;;;;;;;;;;;;;;;;;;;;;
L111;;;;;;;;;;;;;;;;;;;;;;;;;
L112;;;;;;;;;;;;;;;;;;;;;;;;;
L113;;;;;;;;;;;;;;;;;;;;;;;;;
L114;;;;;;;;;;;;;;;;;;;;;;;;;
L115;;;;;;;;;;;;;;;;;;;;;;;;;
L116;;;;;;;;;;;;;;;;;;;;;;;;;
L117;;;;;;;;;;;;;;;;;;;;;;;;;
L118;;;;;;;;;;;;;;;;;;;;;;;;;
L119;;;;;;;;;;;;;;;;;;;;;;;;;
L120;;;;;;;;;;;;;;;;;;;;;;;;;
L121;;;;;;;;;;;;;;;;;;;;;;;;;
L122;;;;;;;;;;;;;;;;;;;;;;;;;
L123;;;;;;;;;;;;;;;;;;;;;;;;;
L124;;;;;;;;;;;;;;;;;;;;;;;;;
L125;;;;;;;;;;;;;;;;;;;;;;;;;
L126;;;;;;;;;;;;;;;;;;;;;;;;;
L127;;;;;;;;;;;;;;;;;;;;;;;;;
L128;;;;;;;;;;;;;;;;;;;;;;;;;
L129;;;;;;;;;;;;;;;;;;;;;;;;;
L130;;;;;;;;;;;;;;;;;;;;;;;;;
L131;;;;;;;;;;;;;;;;;;;;;;;;;
L132;;;;;;;;;;;;;;;;;;;;;;;;;
L133;;;;;;;;;;;;;;;;;;;;;;;;;
L134;;;;;;;;;;;;;;;;;;;;;;;;;
L135;;;;;;;;;;;;;;;;;;;;;;;;;
L136;;;;;;;;;;;;;;;;;;;;;;;;;
L137;;;;;;;;;;;;;;;;;;;;;;;;;
L138;;;;;;;;;;;;;;;;;;;;;;;;;
L139;;;;;;;;;;;;;;;;;;;;;;;;;
L140;;;;;;;;;;;;;;;;;;;;;;;;;
L141;;;;;;;;;;;;;;;;;;;;;;;;;
L142;;;;;;;;;;;;;;;;;;;;;;;;;
L143;;;;;;;;;;;;;;;;;;;;;;;;;
L144;;;;;;;;;;;;;;;;;;;;;;;;;
L145;;;;;;;;;;;;;;;;;;;;;;;;;
L146;;;;;;;;;;;;;;;;;;;;;;;;;
L147;;;;;;;;;;;;;;;;;;;;;;;;;
L148;;;;;;;;;;;;;;;;;;;;;;;;;
L149;;;;;;;;;;;;;;;;;;;;;;;;;
L150;;;;;;;;;;;;;;;;;;;;;;;;;
L151;;;;;;;;;;;;;;;;;;;;;;;;;
L152;;;;;;;;;;;;;;;;;;;;;;;;;
L153;;;;;;;;;;;;;;;;;;;;;;;;;
L154;;;;;;;;;;;;;;;;;;;;;;;;;
L155;;;;;;;;;;;;;;;;;;;;;;;;;
L156;;;;;;;;;;;;;;;;;;;;;;;;;
L157;;;;;;;;;;;;;;;;;;;;;;;;;
L158;;;;;;;;;;;;;;;;;;;;;;;;;
L159;;;;;;;;;;;;;;;;;;;;;;;;;
L160;;;;;;;;;;;;;;;;;;;;;;;;;
L161;;;;;;;;;;;;;;;;;;;;;;;;;
L162;;;;;;;;;;;;;;;;;;;;;;;;;
L163;;;;;;;;;;;;;;;;;;;;;;;;;
L164;;;;;;;;;;;;;;;;;;;;;;;;;
L165;;;;;;;;;;;;;;;;;;;;;;;;;
L166;;;;;;;;;;;;;;;;;;;;;;;;;
L167;;;;;;;;;;;;;;;;;;;;;;;;;
L168;;;;;;;;;;;;;;;;;;;;;;;;;
L169;;;;;;;;;;;;;;;;;;;;;;;;;
L170;;;;;;;;;;;;;;;;;;;;;;;;;
L171;;;;;;;;;;;;;;;;;;;;;;;;;
L172;;;;;;;;;;;;;;;;;;;;;;;;;
L173;;;;;;;;;;;;;;;;;;;;;;;;;
L174;;;;;;;;;;;;;;;;;;;;;;;;;
L175;;;;;;;;;;;;;;;;;;;;;;;;;
L176;;;;;;;;;;;;;;;;;;;;;;;;;
L177;;;;;;;;;;;;;;;;;;;;;;;;;
L178;;;;;;;;;;;;;;;;;;;;;;;;;
L179;;;;;;;;;;;;;;;;;;;;;;;;;
L180;;;;;;;;;;;;;;;;;;;;;;;;;
L181;;;;;;;;;;;;;;;;;;;;;;;;;
L182;;;;;;;;;;;;;;;;;;;;;;;;;
L183;;;;;;;;;;;;;;;;;;;;;;;;;
L184;;;;;;;;;;;;;;;;;;;;;;;;;
L185;;;;;;;;;;;;;;;;;;;;;;;;;
L186;;;;;;;;;;;;;;;;;;;;;;;;;
L187;;;;;;;;;;;;;;;;;;;;;;;;;
L188;;;;;;;;;;;;;;;;;;;;;;;;;
L189;;;;;;;;;;;;;;;;;;;;;;;;;
L190;;;;;;;;;;;;;;;;;;;;;;;;;
L191;;;;;;;;;;;;;;;;;;;;;;;;;
L192;;;;;;;;;;;;;;;;;;;;;;;;;
L193;;;;;;;;;;;;;;;;;;;;;;;;;
L194;;;;;;;;;;;;;;;;;;;;;;;;;
L195;;;;;;;;;;;;;;;;;;;;;;;;;
L196;;;;;;;;;;;;;;;;;;;;;;;;;
L197;;;;;;;;;;;;;;;;;;;;;;;;;
L198;;;;;;;;;;;;;;;;;;;;;;;;;
L199;;;;;;;;;;;;;;;;;;;;;;;;;
L200;;;;;;;;;;;;;;;;;;;;;;;;;
L201;;;;;;;;;;;;;;;;;;;;;;;;;
L202;;;;;;;;;;;;;;;;;;;;;;;;;
L203;;;;;;;;;;;;;;;;;;;;;;;;;
L204;;;;;;;;;;;;;;;;;;;;;;;;;
L205;;;;;;;;;;;;;;;;;;;;;;;;;
L206;;;;;;;;;;;;;;;;;;;;;;;;;
L207;;;;;;;;;;;;;;;;;;;;;;;;;
L208;;;;;;;;;;;;;;;;;;;;;;;;;
L209;;;;;;;;;;;;;;;;;;;;;;;;;
L210;;;;;;;;;;;;;;;;;;;;;;;;;
L211;;;;;;;;;;;;;;;;;;;;;;;;;
L212;;;;;;;;;;;;;;;;;;;;;;;;;
L213;;;;;;;;;;;;;;;;;;;;;;;;;
L214;;;;;;;;;;;;;;;;;;;;;;;;;
L215;;;;;;;;;;;;;;;;;;;;;;;;;
L216;;;;;;;;;;;;;;;;;;;;;;;;;
L217;;;;;;;;;;;;;;;;;;;;;;;;;
L218;;;;;;;;;;;;;;;;;;;;;;;;;
L219;;;;;;;;;;;;;;;;;;;;;;;;;
L220;;;;;;;;;;;;;;;;;;;;;;;;;
L221;;;;;;;;;;;;;;;;;;;;;;;;;
L222;;;;;;;;;;;;;;;;;;;;;;;;;
L223;;;;;;;;;;;;;;;;;;;;;;;;;
L224;;;;;;;;;;;;;;;;;;;;;;;;;
L225;;;;;;;;;;;;;;;;;;;;;;;;;
L226;;;;;;;;;;;;;;;;;;;;;;;;;
L227;;;;;;;;;;;;;;;;;;;;;;;;;
L228;;;;;;;;;;;;;;;;;;;;;;;;;
L229;;;;;;;;;;;;;;;;;;;;;;;;;
L230;;;;;;;;;;;;;;;;;;;;;;;;;
L231;;;;;;;;;;;;;;;;;;;;;;;;;
L232;;;;;;;;;;;;;;;;;;;;;;;;;
L233;;;;;;;;;;;;;;;;;;;;;;;;;
L234;;;;;;;;;;;;;;;;;;;;;;;;;
L235;;;;;;;;;;;;;;;;;;;;;;;;;
L236;;;;;;;;;;;;;;;;;;;;;;;;;
L237;;;;;;;;;;;;;;;;;;;;;;;;;
L238;;;;;;;;;;;;;;;;;;;;;;;;;
L239;;;;;;;;;;;;;;;;;;;;;;;;;
L240;;;;;;;;;;;;;;;;;;;;;;;;;
L241;;;;;;;;;;;;;;;;;;;;;;;;;
L242;;;;;;;;;;;;;;;;;;;;;;;;;
L243;;;;;;;;;;;;;;;;;;;;;;;;;
L244;;;;;;;;;;;;;;;;;;;;;;;;;
L245;;;;;;;;;;;;;;;;;;;;;;;;;
L246;;;;;;;;;;;;;;;;;;;;;;;;;
L247;;;;;;;;;;;;;;;;;;;;;;;;;
L248;;;;;;;;;;;;;;;;;;;;;;;;;
L249;;;;;;;;;;;;;;;;;;;;;;;;;
L250;;;;;;;;;;;;;;;;;;;;;;;;;
L251;;;;;;;;;;;;;;;;;;;;;;;;;
L252;;;;;;;;;;;;;;;;;;;;;;;;;
L253;;;;;;;;;;;;;;;;;;;;;;;;;
L254;;;;;;;;;;;;;;;;;;;;;;;;;
L255;;;;;;;;;;;;;;;;;;;;;;;;;
L256;;;;;;;;;;;;;;;;;;;;;;;;;
L257;;;;;;;;;;;;;;;;;;;;;;;;;
L258;;;;;;;;;;;;;;;;;;;;;;;;;
L259;;;;;;;;;;;;;;;;;;;;;;;;;
L260;;;;;;;;;;;;;;;;;;;;;;;;;
L261;;;;;;;;;;;;;;;;;;;;;;;;;
L262;;;;;;;;;;;;;;;;;;;;;;;;;
L263;;;;;;;;;;;;;;;;;;;;;;;;;
L264;;;;;;;;;;;;;;;;;;;;;;;;;
L265;;;;;;;;;;;;;;;;;;;;;;;;;
L266;;;;;;;;;;;;;;;;;;;;;;;;;
L267;;;;;;;;;;;;;;;;;;;;;;;;;
L268;;;;;;;;;;;;;;;;;;;;;;;;;
L269;;;;;;;;;;;;;;;;;;;;;;;;;
L270;;;;;;;;;;;;;;;;;;;;;;;;;
L271;;;;;;;;;;;;;;;;;;;;;;;;;
L272;;;;;;;;;;;;;;;;;;;;;;;;;
L273;;;;;;;;;;;;;;;;;;;;;;;;;
L274;;;;;;;;;;;;;;;;;;;;;;;;;
L275;;;;;;;;;;;;;;;;;;;;;;;;;
L276;;;;;;;;;;;;;;;;;;;;;;;;;
L277;;;;;;;;;;;;;;;;;;;;;;;;;
L278;;;;;;;;;;;;;;;;;;;;;;;;;
L279;;;;;;;;;;;;;;;;;;;;;;;;;
L280;;;;;;;;;;;;;;;;;;;;;;;;;
L281;;;;;;;;;;;;;;;;;;;;;;;;;
L282;;;;;;;;;;;;;;;;;;;;;;;;;
L283;;;;;;;;;;;;;;;;;;;;;;;;;
L284;;;;;;;;;;;;;;;;;;;;;;;;;
L285;;;;;;;;;;;;;;;;;;;;;;;;;
L286;;;;;;;;;;;;;;;;;;;;;;;;;
L287;;;;;;;;;;;;;;;;;;;;;;;;;
L288;;;;;;;;;;;;;;;;;;;;;;;;;
L289;;;;;;;;;;;;;;;;;;;;;;;;;
L290;;;;;;;;;;;;;;;;;;;;;;;;;
L291;;;;;;;;;;;;;;;;;;;;;;;;;
L292;;;;;;;;;;;;;;;;;;;;;;;;;
L293;;;;;;;;;;;;;;;;;;;;;;;;;
L294;;;;;;;;;;;;;;;;;;;;;;;;;
L295;;;;;;;;;;;;;;;;;;;;;;;;;
L296;;;;;;;;;;;;;;;;;;;;;;;;;
L297;;;;;;;;;;;;;;;;;;;;;;;;;
