Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
5HN6MPJ4;journalArticle;2000;"Bertelson, Paul; Vroomen, Jean; De Gelder, Béatrice; Driver, Jon";The ventriloquist effect does not depend on the direction of deliberate visual attention;Perception & psychophysics;;;;http://link.springer.com/article/10.3758/BF03205552;;2000;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;321–332;;2;62;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/CBA7YTKC/32.pdf; /Users/xander/Zotero/storage/UF3FNM8S/32.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALSWY6KG;journalArticle;2006;"Smilek, Daniel; Enns, James T.; Eastwood, John D.; Merikle, Philip M.";Relax! Cognitive strategy influences visual search;Visual Cognition;;1350-6285, 1464-0716;10.1080/13506280500193487;http://www.tandfonline.com/doi/abs/10.1080/13506280500193487;;2006;16/10/2018 20:31;05/02/2019 22:51;02/02/2017 12:23;543-564;;04-août;14;;;;;;;;;;en;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/NCYDF4G7/82_Smilek_etal_VC06.pdf; /Users/xander/Zotero/storage/HU2TMLYX/82_Smilek_etal_VC06.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZJJD3KTC;book;2002;LoBrutto, Vincent;The filmmaker's guide to production design;;978-1-58115-224-1;;;;;2002;16/10/2018 20:31;05/02/2019 22:50;;;197;;;;;;;;;;Allworth Press;New York;;;;;;Library of Congress ISBN;PN1995.9.A74 L63 2002;;;"/Users/xander/Zotero/storage/3VPTPB9P/447 - The Filmmaker's Guide To Production Design.pdf; /Users/xander/Zotero/storage/ETABKSGD/447 - The Filmmaker's Guide To Production Design.pdf";;"Art direction; Motion pictures; Setting and scenery";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WNEV3YRU;book;1998;"Méadel, Cécile; Proulx, Serge";L'usager en chiffres, l'usager en actes;;;;;https://halshs.archives-ouvertes.fr/halshs-00090789/;;1998;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;;;;;;;;;;;;Presses de l'Université Laval;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/LRUCPGGN/1998MeadelProulx.pdf; /Users/xander/Zotero/storage/N67IVWQW/1998MeadelProulx.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VUQ56D7P;journalArticle;2000;"Huart, Julien; Kolski, Christophe; Leleu-Merviel, Sylvie";Problèmes de création en multimédia: marier l'expérience de l'audiovisuel et la rigueur de la qualité;Cahiers du CIRCAV;;;;https://halshs.archives-ouvertes.fr/hal-00526521/;;2000;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;pages–31;;;12;;;Problèmes de création en multimédia;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/JELWIG3V/2000-circav.pdf; /Users/xander/Zotero/storage/M3ZWXSC9/2000-circav.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H6PM6QVI;book;2009;Méadel, Cécile;Repérages sur la réception et ses multiples paradigmes;;;;;https://halshs.archives-ouvertes.fr/halshs-00452981/;;2009;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;;;;;;;;;;;;Presses du CNRS;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/Q8NV38I4/2009LaReceptionParadigmes.pdf; /Users/xander/Zotero/storage/9BGZBMUS/2009LaReceptionParadigmes.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJYU4HVJ;book;1986;"Albert, Pierre; Tudesq, André-Jean";Histoire de la radio-télévision;;978-2-13-039798-4;;;;OCLC: 246496350;1986;16/10/2018 20:31;05/02/2019 22:48;;;127;;;;;;Que sais-je?;368;;;Presses Univ. de France;Paris;fre;;;;;Gemeinsamer Bibliotheksverbund ISBN;;;;"/Users/xander/Zotero/storage/W9EFD3PQ/2013_LAMBOUX-Durand_EUTIC_2011_Evolution_sujetsJT--.pdf; /Users/xander/Zotero/storage/FLXL7KNX/2013_LAMBOUX-Durand_EUTIC_2011_Evolution_sujetsJT--.pdf";;;;;;;;;;;;;;;;;;;;;;;2. éd;;;;;;;;;;;;;;;;;;;;;;;;;;
MVKJ4E93;book;2003;Chion, Michel;Un art sonore, le cinéma: histoire, esthétique, poétique;;;;;;;2003;16/10/2018 20:31;05/02/2019 22:50;;;;;;;;Un art sonore, le cinéma;;;;;Cahiers du cinéma;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/2WQZMPYD/2015_11_19_Presentation_Travaux_Julien_Pequignot.pdf; /Users/xander/Zotero/storage/TCUUZ56I/2015_11_19_Presentation_Travaux_Julien_Pequignot.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PN963A84;journalArticle;2003;Renoue, Marie;Lumière en noir et lumière tangible: Le «goût» du paradoxe;Protée;;;;http://www.erudit.org/revue/pr/2003/v31/n3/008438ar.html;;2003;16/10/2018 20:31;05/02/2019 22:51;02/02/2017 12:23;69–80;;3;31;;;Lumière en noir et lumière tangible;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/IFX9Q8SV/008438ar.pdf; /Users/xander/Zotero/storage/XZQSTMC6/008438ar.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WQDFGMNL;thesis;2013;GLOTIN, M. Hervé;Effect of sound in videos on gaze: Contribution to audio-visual saliency modeling;;;;;https://pdfs.semanticscholar.org/ecf3/35381a65a10455715ee52c235be3e6ef4362.pdf;;2013;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;;;;;;;Effect of sound in videos on gaze;;;;;Université Joseph Fourier, Grenoble;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/3ASJDZLW/34054_SONG_2013_archivage.pdf; /Users/xander/Zotero/storage/T6CRF727/34054_SONG_2013_archivage.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SK58GCX9;journalArticle;2003;Kuhnen, Klaus;Modeling, identification and compensation of complex hysteretic nonlinearities: A modified Prandtl-Ishlinskii approach;European journal of control;;;;http://www.sciencedirect.com/science/article/pii/S094735800370288X;;2013;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:24;407–418;;4;9;;;Modeling, identification and compensation of complex hysteretic nonlinearities;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/RQFATP7H/95089671articles-emotions-pdf.pdf; /Users/xander/Zotero/storage/T4HFLZ8A/95089671articles-emotions-pdf.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JBM5UAYT;conferencePaper;2007;Djemal, Karim;Vers une exploitation de documents multi-structurés.;INFORSID;;;;https://liris.cnrs.fr/inforsid/sites/default/files/a635c1zyGVsSAbpvo.pdf;;2003;16/10/2018 20:31;05/02/2019 22:48;02/02/2017 12:24;37–52;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/N59IUDKL/a635c1zyGVsSAbpvo.pdf; /Users/xander/Zotero/storage/FTJLD77K/a635c1zyGVsSAbpvo.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HY5GT4UL;journalArticle;1990;"Posner, Michael I.; Petersen, Steven E.";The attention system of the human brain;Annual review of neuroscience;;;;http://www.annualreviews.org/doi/pdf/10.1146/annurev.ne.13.030190.000325;;2007;16/10/2018 20:31;05/02/2019 22:51;02/02/2017 12:24;25–42;;1;13;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/NJWUC4AZ/a206157.pdf; /Users/xander/Zotero/storage/CLA89P6F/a206157.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USXX8QUP;thesis;2001;Risson, Valery;Application de la morphologie mathématique à l'analyse des conditions d'éclairage des images couleur;;;;;https://pastel.archives-ouvertes.fr/pastel-00003315/;;2001;16/10/2018 20:31;05/02/2019 22:51;02/02/2017 12:24;;;;;;;;;;;;École Nationale Supérieure des Mines de Paris;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/NYGS7GXA/ABugeau-DEA04.pdf; /Users/xander/Zotero/storage/9ALR63EX/ABugeau-DEA04.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23857DEK;journalArticle;2011;"Moorthy, Anush Krishna; Bovik, Alan Conrad";Visual quality assessment algorithms: what does the future hold?;Multimedia Tools and Applications;;;;http://link.springer.com/article/10.1007/s11042-010-0640-x;;2011;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:24;675–696;;2;51;;;Visual quality assessment algorithms;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/FPYME54F/akm_ijmta_jan11.pdf; /Users/xander/Zotero/storage/HUGYUB7E/akm_ijmta_jan11.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QHJDK6R4;journalArticle;2001;"Vroomen, Jean; Driver, Jon; De Gelder, Beatrice";Is cross-modal integration of emotional expressions independent of attentional resources?;Cognitive, Affective, & Behavioral Neuroscience;;;;http://link.springer.com/article/10.3758/CABN.1.4.382;;2001;16/10/2018 20:31;05/02/2019 22:48;02/02/2017 12:24;382–387;;4;1;;;;;;;;;;;;;;;Google Scholar;;;;/Users/xander/Zotero/storage/N5Q6CY36/Vroomen et al. - 2001 - Is cross-modal integration of emotional expression.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UX5AKBRZ;journalArticle;1964;Metz, Christian;Le cinéma : langue ou langage ?;Communications;;0588-8018;10.3406/comm.1964.1028;http://www.persee.fr/web/revues/home/prescript/article/comm_0588-8018_1964_num_4_1_1028;;1964;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:24;52-90;;1;4;;;Le cinéma;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/CGC96IGH/article_comm_0588-8018_1964_num_4_1_1028.pdf; /Users/xander/Zotero/storage/EQRH2N2T/article_comm_0588-8018_1964_num_4_1_1028.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4QV4FEDK;journalArticle;1966;Metz, Christian;La grande syntagmatique du film narratif;Communications;;0588-8018;10.3406/comm.1966.1119;http://www.persee.fr/web/revues/home/prescript/article/comm_0588-8018_1966_num_8_1_1119;;1966;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;120-124;;1;8;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/QV9QQ5TZ/article_comm_0588-8018_1966_num_8_1_1119.pdf; /Users/xander/Zotero/storage/QK9MR5NX/article_comm_0588-8018_1966_num_8_1_1119.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X52GGPMD;journalArticle;1968;Metz, Christian;Le dire et le dit au cinéma;Communications;;0588-8018;10.3406/comm.1968.1155;http://www.persee.fr/web/revues/home/prescript/article/comm_0588-8018_1968_num_11_1_1155;;1968;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;22-33;;1;11;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/H24KMD9M/article_comm_0588-8018_1968_num_11_1_1155.pdf; /Users/xander/Zotero/storage/W8IAYMCG/article_comm_0588-8018_1968_num_11_1_1155.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AWESKC8G;journalArticle;1975;Metz, Christian;Le signifiant imaginaire;Communications;;0588-8018;10.3406/comm.1975.1347;http://www.persee.fr/web/revues/home/prescript/article/comm_0588-8018_1975_num_23_1_1347;;1975;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;mars-55;;1;23;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/H23WIXRN/article_comm_0588-8018_1975_num_23_1_1347.pdf; /Users/xander/Zotero/storage/375QKABS/article_comm_0588-8018_1975_num_23_1_1347.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HT5T2IBP;journalArticle;1953;de Montmollin, G.;VI. Le phénomène de normalisation à l'intérieur d'un groupe social;L'année psychologique;;0003-5033;10.3406/psy.1953.30123;http://www.persee.fr/web/revues/home/prescript/article/psy_0003-5033_1953_num_53_2_30123;;1953;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;539-551;;2;53;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/CGKRAN6I/article_psy_0003-5033_1953_num_53_2_30123.pdf; /Users/xander/Zotero/storage/LLU4TX53/article_psy_0003-5033_1953_num_53_2_30123.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANJMTUZB;journalArticle;1993;Bourdon, Jérôme;Les techniques de production et les professionnels à la télévision française depuis 1974;Réseaux;;;;http://www.persee.fr/doc/reso_0751-7971_1993_hos_11_2_3613;;1993;16/10/2018 20:32;05/02/2019 22:49;02/02/2017 12:24;11–25;;2;11;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/FLQ98UD6/article_reso_0751-7971_1987_num_5_24_1254.pdf; /Users/xander/Zotero/storage/URWB934J/article_reso_0751-7971_1987_num_5_24_1254.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3W8WNDE6;journalArticle;1997;Jost, François;La promesse des genres;Réseaux;;;;http://www.persee.fr/doc/reso_0751-7971_1997_num_15_81_2883;;1997;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;11–31;;81;15;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/D6HE8GNI/article_reso_0751-7971_1997_num_15_81_2883.pdf; /Users/xander/Zotero/storage/54QVUWB5/article_reso_0751-7971_1997_num_15_81_2883.pdf; /Users/xander/Zotero/storage/DZHPIIPY/reso_0751-7971_1997_num_15_81_2883.pdf; /Users/xander/Zotero/storage/HKLVDPVL/reso_0751-7971_1997_num_15_81_2883.pdf; /Users/xander/Zotero/storage/MCCGRZC6/reso_0751-7971_1997_num_15_81_2883.pdf; /Users/xander/Zotero/storage/WHMC3RM7/reso_0751-7971_1997_num_15_81_2883.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZQEISXR2;journalArticle;2017;"MOLINIÉ, M. Georges; COMPTE, Mme Carmen; de la PA℡LIÈRE, M. Fabrice; LITS, M. Marc";Du «temps de cerveau disponible»?;;;;;https://hal.archives-ouvertes.fr/tel-00574592/document;;2017;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/WMGE8877/barthes_severine_2010_these.pdf; /Users/xander/Zotero/storage/BBC9DPDN/barthes_severine_2010_these.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NNFKHXF4;journalArticle;2003;"Bertelson, Paul; Vroomen, Jean; De Gelder, Béatrice";Visual recalibration of auditory speech identification: a McGurk aftereffect;Psychological Science;;;;http://journals.sagepub.com/doi/abs/10.1046/j.0956-7976.2003.psci_1470.x;;2003;16/10/2018 20:32;05/02/2019 22:49;02/02/2017 12:24;592–597;;6;14;;;Visual recalibration of auditory speech identification;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/Y36L89CC/Bertelson2003.pdf; /Users/xander/Zotero/storage/KP26M4MB/Bertelson2003.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEKMPT7P;journalArticle;2010;"Feragen, Kristin Billaud; Kvalem, Ingela L.; Rumsey, Nichola; Borge, Anne I.H.";Adolescents with and without a facial difference: The role of friendships and social acceptance in perceptions of appearance and emotional resilience;Body Image;;17401445;10.1016/j.bodyim.2010.05.002;http://linkinghub.elsevier.com/retrieve/pii/S1740144510000598;;2010;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:24;271-279;;4;7;;;Adolescents with and without a facial difference;;;;;;;en;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/DT2R3DRF/Body Image 2010b.pdf; /Users/xander/Zotero/storage/EK39VVWR/Body Image 2010b.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WMXZUAQ2;journalArticle;2012;Peacocke, Christopher;Conceiving of Conscious States;Wittgenstein and the Philosophy of Mind;;;;https://books.google.com/books?hl=en&lr=&id=v4L25mz3n90C&oi=fnd&pg=PA145&dq=%22applications+of+concepts+of+conscious+states,+and+of+our+grasp+of+an%22+%22possess+an+observational+concept,+such+as+the+concept+oval,+is+to+have%22+%22second+example+of+the+model+concerns+our+understanding+of+predications%22+&ots=Yy0BJnfdN4&sig=2dFU9oLib36FafYBTSxGB-eh0Dc;;2012;16/10/2018 20:32;05/02/2019 22:51;02/02/2017 12:25;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/28LPR4JM/CCSUCSC.pdf; /Users/xander/Zotero/storage/Y53KUTXE/CCSUCSC.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N2HMGDDV;book;2008;"Leleu-Merviel, Sylvie; Useille, Philippe";Quelques révisions du concept d'information;;;;;https://hal.archives-ouvertes.fr/hal-00695777/;;2008;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:25;;;;;;;;;;;;Lavoisier;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/BWIQGEUV/Chapitre_RA_visions_Information.pdf; /Users/xander/Zotero/storage/RD5AC235/Chapitre_RA_visions_Information.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AV4HIUHZ;book;1994;"Chion, Michel; Gorbman, Claudia; Murch, Walter";Audio-vision: sound on screen;;978-0-231-07898-6 978-0-231-07899-3;;;;;1994;16/10/2018 20:32;05/02/2019 22:50;;;239;;;;;Audio-vision;;;;;Columbia University Press;New York;eng;;;;;Library of Congress ISBN;PN1995.7 .C4714 1994;;;"/Users/xander/Zotero/storage/2VZI97Z5/Chion_Michel_Audio-Vision.pdf; /Users/xander/Zotero/storage/PTB7W7TA/Chion_Michel_Audio-Vision.pdf; /Users/xander/Zotero/storage/5PQQIBCJ/Michelchion_audio-vision FULL.pdf; /Users/xander/Zotero/storage/HS9WMZLQ/Michelchion_audio-vision FULL.pdf";;"Motion pictures; Aesthetics; Sound effects; Sound motion pictures";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIQ4A7A6;journalArticle;2001;"Driver, Jon; Vuilleumier, Patrik";Perceptual awareness and its loss in unilateral neglect and extinction;Cognition;;;;http://www.sciencedirect.com/science/article/pii/S0010027700001244;;2001;16/10/2018 20:32;05/02/2019 22:50;02/02/2017 12:25;39–88;;1;79;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/4IA559LJ/Cognition 79 39 88.pdf; /Users/xander/Zotero/storage/C75IH9GZ/Cognition 79 39 88.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
